post_title,link_type,link_group,link_url,menu_order
"Mitra, S. (2020). The papaya: botany, production and uses. CABI. ISBN 978-1-78924-190-7.",books,2020,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789241907.0000,37
"Morales Reyes, E.I. and Bolaños González, M.A. (2020) Manual de Manejo Poscosecha y Fermentaciones del Fruto del Café . [Lleida]: Programa de Postcosecha (IRTA).",books,2020,https://www.researchgate.net/publication/372935743_Manual_de_Manejo_Poscosecha_y_Fermentaciones_del_Fruto_del_Cafe,38
"Mühlbauer, W. and Müller, J. (2020) Drying Atlas Drying Kinetics and Quality of Agricultural Products . 1st edn. Academic Press. ISBN: 9780128181621",books,2020,https://www.sciencedirect.com/book/9780128181621/drying-atlas,39
"Shiva, V. (2020). ¿Quién alimenta realmente al mundo? El fracaso de la agricultura industrial y la promesa de la agroecología. España: CAPITÁN SWING LIBROS.",books,2020,https://capitanswing.com/libros/quien-alimenta-realmente-al-mundo/,40
"Watkins, C. (ed.) (2020) Advances in postharvest management of horticultural produce . Burleigh Dodds Science Publishing.",books,2020,https://shop.bdspublishing.com/store/bds/detail/workgroup/3-190-83667,41
"Yahia, E.M. (2020) Preventing food losses and waste to achieve food security and sustainability. 1ra ed. Burleigh Dodds Science Publishing. ISBN: 9781786763006",books,2020,https://shop.bdspublishing.com/store/bds/detail/workgroup/?id=3-190-83433,42
"Albrigo, L.G., Stelinski, L.L. & Timmer, L.W. (2019). Citrus, 2nd Edition. (Agriculture Series, Vol. 5. Crop production science in horticulture). CABI.",books,2019,https://www.cabidigitallibrary.org/doi/book/10.1079/9781845938154.0000,43
"Albrecht, C., Zizich, N., Garnero Zurlo, S., Scavuzzo, M. & Cervilla, N.S., 2019. Manual de frutas y hortalizas: propiedades físico-químicas y condiciones de manipulación y conservación. Córdoba: Copy-Rápido. ISBN 978-987-3801-61-7.",books,2019,https://www.researchgate.net/publication/337496272_Manual_de_frutas_y_hortalizas_propiedades_fisico-quimicas_y_condiciones_de_manipulacion_y_conservacion,44
"Murray, R.E., Candán, A.P. & Vázquez, D.E., eds., 2019. Manual de poscosecha de frutas. Manejo integrado de patógenos. INTA Ediciones. ISBN 978-987-8333-12-0",books,2019,https://repositorio.inta.gob.ar/xmlui/handle/20.500.12123/6349#%20%20PDF:https://alimentosargentinos.magyp.gob.ar/HomeAlimentos/PDA/documentos/manual_poscosecha_frutas_INTA.pdf,45
"Perlmutter, D. D. (2019). Cerebro de pan: La devastadora verdad sobre los efectos del trigo, el azúcar y los carbohidratos. España: GRIJALBO.",books,2019,https://www.penguinlibros.com/mx/tematicas/44808-ebook-cerebro-de-pan-edicion-revisada-y-actualizada-9786073180849,46
"Yahia, E.M. (ed.) (2019) Postharvest Physiology and Biochemistry of Fruits and Vegetables . Woodhead Publishing. ISBN: 978-0-12-813278-4, ISBN: 978-0-12-813276-0",books,2019,https://www.sciencedirect.com/book/9780128132784/postharvest-physiology-and-biochemistry-of-fruits-and-vegetables,47
"Yahia, E.M. (ed.) (2019) Postharvest Technology of Perishable Horticultural Commodities . Woodhead Publishing.",books,2019,https://www.sciencedirect.com/book/9780128132760/postharvest-technology-of-perishable-horticultural-commodities,48
"Creasy, G.L. (2018) Grapes . 2nd edn. CABI. ISBN: 978-1-78639-136-0",books,2018,https://www.cabidigitallibrary.org/doi/book/10.1079/9781786391360.0000,49
"Galanakis, C.M. (ed.) (2018) Sustainable Meat Production and Processing. 1st edn. Elsevier.",books,2018,https://www.sciencedirect.com/book/9780128148747/sustainable-meat-production-and-processing,50
"Heuvelink, E. (2018) Tomatoes . 2nd edn. CABI. ISBN: 978-1-78064-193-5",books,2018,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780641935.0000,51
"Martínez, E. & Pinto, D., 2018. Tecnología de producción y almacenamiento de cebolla de bulbo (Allium cepa L.) con enfoque sostenible en el trópico colombiano. Tunja: Editorial UPTC. DOI: 10.19053/9789586602839.",books,2018,https://editorial.uptc.edu.co/gpd-tecnologia-de-produccion-y-almacenamiento-de-cebolla-de-bulbo-allium-cepa-l-con-enfoque-sostenible-en-el-tropico-colombiano-9789586602839.html,52
"Prado Ramírez, R., Sánchez Osorio, E. & Flores López, M.L., eds., 2018. Cadenas de valor en el sistema agroalimentario de Chiapas: necesidades, retos y perspectivas. México: CIATEJ y Juan Pablos Editor. ISBN 978-607-97894-2-8",books,2018,https://ciatej.repositorioinstitucional.mx/jspui/handle/1023/647%20%20PDF:https://www.academia.edu/40257353/Cadenas_de_valor_en_el_sistema_agroalimentario_de_Chiapas_necesidades_retos_y_perspectivas,53
"Retamales, J.B. and Hancock, J.F. (2018) Blueberries . 2nd edn. CABI. ISBN: 978-1-78064-726-5",books,2018,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780647265.0000,54
"Sanewski, G.M., Bartholomew, D.P. and Paull, R.E. (2018) The pineapple: botany, production and uses . 2nd edn. CABI. ISBN: 978-1-78639-330-2",books,2018,https://www.cabidigitallibrary.org/doi/book/10.1079/9781786393302.0000,55
"Siddiqui, M.W. (ed.) (2018) Postharvest Disinfection of Fruits and Vegetables . 1st edn. Academic Press. ISBN: 9780128126981",books,2018,https://www.sciencedirect.com/book/9780128126981/postharvest-disinfection-of-fruits-and-vegetables#book-info,56
"Yahia, E.M. (ed.) (2018) Fruit and Vegetable Phytochemicals: Chemistry and Human Health, 2 Volumes, 2nd Edition . Wiley-Blackwell. ISBN: 978-1-119-15797-7",books,2018,https://www.wiley.com/en-mx/Fruit+and+Vegetable+Phytochemicals%3A+Chemistry+and+Human+Health%2C+2+Volumes%2C+2nd+Edition-p-9781119157946,57
"Barkai-Golan, R. and Follett, P.A. (2017) Irradiation for Quality Improvement, Microbial Safety and Phytosanitation of Fresh Produce . 1st edn. Academic Press. ISBN: 9780128110256",books,2017,https://www.sciencedirect.com/book/9780128110256/irradiation-for-quality-improvement-microbial-safety-and-phytosanitation-of-fresh-produce,58
"DiNicolantonio, J. (2017). The Salt Fix: Why the Experts Got It All Wrong–and How Eating More Might Save Your Life. . Harmony Books.",books,2017,https://www.penguinrandomhouse.com/books/545379/the-salt-fix-by-dr-james-dinicolantonio/,59
"D'Silva, J. & Webster, J. (Eds.). (2017). The Meat Crisis: Developing more Sustainable and Ethical Production and Consumption (2nd ed.). Routledge. ISBN 9781138673298.",books,2017,https://www.routledge.com/The-Meat-Crisis-Developing-more-Sustainable-and-Ethical-Production-and-Consumption/DSilva-Webster/p/book/9781138673298?srsltid=AfmBOookcRyrjWAWJJ_WrOO0UBMB6MioPdR-OOhaw13kWPQKtb5kiBRp,60
"Hall, H.K. and Funt, R.C. (2017) Blackberries and their hybrids . CABI. ISBN: 978-1-78064-668-8",books,2017,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780646688.0000,61
"Mulet, J. (2017). Transgénicos sin miedo: Todo lo que necesitas saber sobre ellos de la mano de la ciencia. España: Ediciones Destino.",books,2017,https://www.planetadelibros.com.mx/libro-transgenicos-sin-miedo/251484,62
"Ravindran, P.N. (2017) The Encyclopedia of Herbs & Spices. Volumes 1 and 2 . CABI. ISBN: 978-1-78064-315-1",books,2017,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780643151.0000,63
"Siddiqui, M.W. (ed.) (2017) Preharvest Modulation of Postharvest Fruit and Vegetable Quality. 1st edn. Academic Press. ISBN: 9780128098073",books,2017,https://www.sciencedirect.com/book/9780128098073/preharvest-modulation-of-postharvest-fruit-and-vegetable-quality,64
"Socias i Company, R. and Gradziel, T.M. (2017) Almonds: botany, production and uses . CABI. ISBN: 978-1-78064-354-0",books,2017,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780643540.0000,65
"Wolf-Hall, C. and Nganje, W. (2017) Microbial food safety: a food systems approach . CABI. ISBN: 978-1-78064-481-3",books,2017,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780644806.0000,66
"Yahia, E.M. (ed.) (2017) Fruit and Vegetable Phytochemicals: Chemistry and Human Health, 2 Volumes, 2nd Edition . Wiley-Blackwell. ISBN: 978-1-119-15797-7",books,2017,https://www.wiley.com/en-mx/Fruit+and+Vegetable+Phytochemicals%3A+Chemistry+and+Human+Health%2C+2+Volumes%2C+2nd+Edition-p-9781119157946,67
"Ambrose, D.C.P., Manickavasagan, A. and Naik, R. (2016) Leafy medicinal herbs: botany, chemistry, postharvest technology and uses. CABI. ISBN: 978-1-78064-559-9",books,2016,https://www.cabidigitallibrary.org/doi/book/10.1079/9781780645599.0000,68
"Sáenz Torres, S. M., Chaparro González, M. P. y Bernal Bechara, L. C. (2016). Yacón:producción, transformación y beneficios. 1ra ed. [en línea] Bogotá: Universidad de La Salle. ISBN 9789585400085.",books,2016,https://ciencia.lasalle.edu.co/items/32627615-5d6d-4ee0-b77d-9a2d188a77cf/full,69
"Siddiqui, M.W. (ed.) (2016) Eco-Friendly Technology for Postharvest Produce Quality. 1st edn. Academic Press. ISBN: 9780128043134",books,2016,https://www.sciencedirect.com/book/9780128043134/eco-friendly-technology-for-%20postharvest-produce-quality,70
"Aguilera Ortíz, M., Ramírez de León, J.A., Reynoso Camacho, R. y Gómez Aldapa, C.A. (coords.) (2014). Los alimentos en México y su relación con la salud. 1ª ed. México: Universidad autónoma de Tamaulipas.",books,2016,https://riuat.uat.edu.mx/handle/123456789/1563,71
"Bautista Baños, S. (ed.) (2014) Postharvest Decay Control Strategies . 1st edn. Academic Press. ISBN: 9780128101469 https://www.wiley.com/en-mx/search?pq=postcosecha",books,2016,https://www.wiley.com/en-mx/search?pq=postcosecha,72
"Florkowski, W.J., Shewfelt, R.L., and Prussia, S.E. (eds) (2014) Postharvest Handling A Systems Approach . Third Edition. Academic Press.",books,2016,http://Postharvest Handling | ScienceDirect,73
"Harris, L.J. (ed.) (2013) Improving the Safety and Quality of Nuts . 1st edn. Woodhead Publishing. ISBN: 9780857092663gg",books,2013,https://www.sciencedirect.com/book/9780857092663/improving-the-safety-and-quality-of-nuts,74
"Chaparro González, M. P. y Bernal Bechara, L. C. (2016). Yacón: producción, transformación y beneficios. 1ra ed. [en línea] Bogotá: Universidad de La Salle. ISBN 9789585400085.",books,2013,https://ciencia.lasalle.edu.co/items/32627615-5d6d-4ee0-b77d-9a2d188a77cf/full,75
"Siddiqui, M.W. (ed.) (2016) Eco-Friendly Technology for Postharvest Produce Quality . 1st edn. Academic Press. ISBN: 9780128043134",books,2013,https://www.sciencedirect.com/book/9780128043134/eco-friendly-technology-for-postharvest-produce-quality,76
"Kader, A. (ed.) (2002) Tecnología postcosecha de cultivos hortícolas. 3ra ed. California: University of California Agriculture & Natural Resources. ISBN 978-1-60107-744-8.",books,2012,https://anrcatalog.ucanr.edu/Details.aspx?itemNo=3530,77
"Weintraub, P- G., P Jones (Editors) 2009. Phytoplasmas: Genomes, Plant Host and Vectors, CABI.",books,2012,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2173,78
"Ferry, N and A Gatehouse (Editors)2009. Enviromental Impact of geentically Modified Crops. CABI.",books,2012,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2087,79
Benjamin Caballero (Ed). 2009. Guide to Nutritional Supplements. ISBN: 978-0-12-375109-6.,books,2009,http://www.elsevierdirect.com/product.jsp?isbn=9780123751096,80
HNB Publishing,books,2009,http://www.hnbpub.com/,81
"Boisrobert Christine, Stjepanovic Aleksandra, Oh Sangsuk and Helieveld Huub, Ensuring Global Food Safety Exploring Global Harmonization. ISBN: 978-0-12-374845-4",books,2009,http://www.elsevierdirect.com/product.jsp?isbn=9780123748454,82
"Castellanos, Javier Z. 2009. Manual de producción de tomate en invernadero. Intagri",books,2009,http://www.intagri.com.mx/Manual_Tomate.html,83
"Castle, David and Nola Ries (Eds). 2009. Nutrition and Genomics. Elsevier. 328 pages, ISBN: 978-0-12-746275-2.",books,2009,http://mail.elsevier-alerts.com/go.asp?/bESJ001/mUBF2Z8/qUKX2Z8/u2APG6/xFMO2Z8%22,84
"Da-Wen Sun. 2009. Infrared Spectroscopy for Food Quality Analysis and Control. Elsevier. 448 Pages, ISBN: 978-0-12-374136-3.",books,2009,http://mail.elsevier-alerts.com/go.asp?/bESJ001/mUBF2Z8/q3TOKZ8/u2APG6/xFMO2Z8,85
"D P Khasa, Universite Laval, Canada; Y Piche, Universite Laval, Canada; A P Coughlin, Quebec Project Manager for Bird Studies, Canada. Advances in Mycorrhizal Science and Technology. October 2009 / Hardback / 208 Pages /ISBN: 9781845935863",books,2009,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2154,86
"Forestry and Climate Change. Edited by P H Freer-Smith, Forest Research, UK; M S J Broadmeadow, Forest Research, UK; J M Lynch, Forest Research, UK. October 2009 / Paperback / 272 Pages / ISBN: 9781845935962",books,2009,http://www.cabi.org/cabipages/bk_bookdisplay.asp?pid=2051,87
"Hui, Y.H. et. al. 2009. Handbook of Fruits and Fruit Processing. 978-0-8138-1981-5, Wiley-Blackwell",books,2009,http://www.wiley.com/WileyCDA/WileyTitle/productCd-0813819814.html,88
"J. Bórgi, Freelance journalist, Switzerland. Insect Resistant Maize. October 2009 / Hardback / 304 Pages /ISBN: 9781845935696",books,2009,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2175,89
"Kader, Adel A. and Hussein, Awad. 2009. Harvesting and postharvest handling of dates. ICARDA, Aleppo, Syria. iv + 15 pp. In Arabic. ISBN: 92-9127-213-6.",books,2009,http://localhost/Phytochemicals/pdf/Kader%20and%20Hussein%202009%20%20Harvesting%20and%20Handling%20of%20Dates%20(Arabic)%20pdf.pdf,90
"Kader, Adel A. and Hussein, Awad. 2009. Harvesting and postharvest handling of dates. ICARDA, Aleppo, Syria. iv + 15 pp. In English. ISBN: 92-9127-213-6.",books,2009,http://localhost/Phytochemicals/pdf/Kader%20%20and%20Hussein%202009%20Harvesting%20and%20Handling%20of%20Dates(English)%20pdf.pdf,91
HNB Publishing,books,2009,http://www.hnbpub.com/,92
"Litz, R.E. 2009. The Mango: Botany, Production and Uses. 2nd Edition. CABI, 704 pages, ISBN: 978184593489.",books,2009,http://www.cabi.org/bk_BookDisplay.asp?SubjectArea=Pla&Subject=Horticulture&PID=2134ttp://www.cabi.org/bk_BookDisplay.asp?SubjectArea=Pla&Subject=Horticulture&PID=2134,93
"Ross Watson , Ronald and Victor R. Preedy (Eds). 2009. Bioactive Foods in Promoting Health Fruits and Vegetables. ISBN: 978-0-12-374628-3.",books,2009,http://www.elsevierdirect.com/product.jsp?isbn=9780123746283,94
"Terry, L. 2009. Health-Promoting Properties of Fruits and Vegetables. CABI. In press.",books,2009,http://www.cabi.org/bk_BookDisplay.asp?PID=2158,95
"Valero, D. and M. Serrano. 2010. Postharvest Biology and Technology for Preserving Food Quality. CRC Taylor & Francis. In Press.",books,2009,http://beta.crcpress.com/product/isbn/9781439802663%C2%A0,96
"Yahia Elhadi M. (Editor). 2009. Modified and controlled atmospheres for transportation, storage and packaging of horticultural commodities. Recent advances. CRC Press (Taylor & Francis)",books,2009,http://www.crcpress.com/shopping_cart/products/product_detail.asp?sku=69578&isbn=9781420069570&parent_id=&pc,97
"Wojciech J. Florkowski, Stanley E. Prussia, Robert L. Shewfelt, Bernhard Brueckner (Eds). 2009. Postharvest Handling. 2nd Edition. A Systems Approach. Elsevier. 640 Pages",books,2009,http://mail.elsevier-alerts.com/go.asp?/bESJ001/mUBF2Z8/qLKFTZ8/u2APG6/xFMO2Z8,98
"Bruckner, B., and S.G. Wyllie (Editors). 2008. Fruit and vegetable flavor: Recent advances and future prospects. CRC Press, Boca Raton, FL (ISBN: 9781420076004)",books,2008,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=14&surveynumber=277,99
"Gopinadhan Paliyath (University of Guelph), Dennis Murr (University of Guelph), Avtar Handa (Purdue University) and Susan Lurie (The Volcani Center) (Eds). 2008. Postharvest Biology and Technology of Fruits, Vegetables, and Flowers. Blackwell Publishing",books,2008,http://www.blackwellpublishing.com/book.asp?ref=9780813804088&site=1,100
Gordon L. Robertson and John R. Lupien (Eds.). 2008. Using Food Science and Technology to Improve Nutrition and Promote National Development. International Union of Food Science & Technology (IUFoST),books,2008,http://www.iufost.org/publications/books/documents/Table.pdf,101
"Ladaniya, M.S. 2008. Citrus Fruit Biology, Technology and Evaluation. Academic Press (Elsevier), San Diego, CA, USA (ISBN: 978-0-12-374130-1), 558 pages.",books,2008,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=15&surveynumber=277,102
"Lee, DS, L. Piergiovanni, and K. Yam. 2008. Food Packaging Science and Technology. CRC Taylor & Francis, ISBN: 9780824727796.",books,2008,http://beta.crcpress.com/product/isbn/9780824727796;jsessionid=5BBD57A7FC546A166BDCB2EC54956F29,103
"LibbyLibby: Braunwald’s Heart Disease: A Textbook of Cardiovascular Medicine. Editor WB Saunders, 2008.",books,2008,http://www.mdconsult.com/das/book/body/120701964-2/0/1549/0.html,104
"Nunes, M.C.N. 2008. Color Atlas of Postharvest Quality of Fruits and Vegetables. Blackwell Publ., Ames, Iowa (ISBN: 978081381752-1)",books,2008,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=12&surveynumber=277,105
FAO. 2007. Nutrition Education in Primary Schools. A planning guide for curriculum development.,books,2008,http://www.fao.org/docrep/009/a0333e/a0333e00.htm,106
Principios Básicos de Investigación Clínica. 2007. Fundació Institut Català de Farmacologia (FICF).,books,2008,http://www.icf.uab.es/llibre/llibre.htm,107
"Tang, J., E. Mitcham, S. Wang, and S. Lurie. 2007. Heat Treatments for Postharvest Pest Control Theory & Practice. CABI Publishing, Wallingford, UK, 350 pp. ISBN: 9781845932527",books,2008,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=7&surveynumber=277,108
"Wilson, C. (Editor). 2007. Frontiers of “intelligent” and “active” packaging for fruits and vegetables.",books,2008,http://www.crcpress.com/shopping_cart/products/product_detail.asp?sku=9166&isbn=9780849391668&parent_id=&pc,109
"Zhao Y. 2007. Berry Fruit Value-added Products for Health Promotion. CRC Press, Boca Raton, FL, 430 pp. ISBN 10:0-8493-5802-7",books,2008,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=6&surveynumber=277,110
World Health Organization (WHO). 2007. Prevention of cardiovascular disease: Guidelines for assessment and management of cardiovascular risk,books,2008,http://www.who.int/cardiovascular_diseases/guidelines/Prevention_of_Cardiovascular_Disease/en/index.html,111
"Ben-Yehoshua, S. 2006. Environmentally Friendly Technologies for Agricultural Produce Quality. CRC Press, Boca Raton, FL, 534 pp. ISBN 10:0-8493-1911-0",books,2006,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=9&surveynumber=277,112
FAO. 2006. Guidelines on food fortification with micronutrients.,books,2006,http://www.who.int/nutrition/publications/guide_food_fortification_micronutrients.pdf,113
"Hui, Y.H. 2006. Food Biochemistry and_Food_Processing. 978-0-8138-0378-4, Wiley-Blackwell",books,2006,http://www.wiley.com/WileyCDA/WileyTitle/productCd-0813803780.html,114
"Sapers, G.M., J.R. Gorny, and A.E. Yousef. 2006. Vegetables. CRC Press, Boca Raton, FL, 634 pp. ISBN-10:0-8493-2261-8",books,2006,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=8&surveynumber=277%22%20Microbiology%20of%20Fruits%20and,115
"SEDCA. 2006. Recomendaciones de SPNS/GEAM/SENPE/AEDN/SEDCA/GESIDA sobre nutrición en el paciente con infección por VIH. Ministerio de Sanidad y Consumo Secretaría General Técnica Centro de Publicaciones, Madrid, España.",books,2006,http://www.nutrinfo.com.mx/pagina/e-books/recomendaciones_sobre_nutricion_en_vih.pdf?PHPSESS=b38c02a9c646ab6ab82294cd83c94820,116
"Yahia, E.M., J. J. Ornelas Paz, and R. Ariza. 2006. The Mango (in Spanish). Trillas, México, ISBN 968-24-7380-2, 224 pages",books,2006,http://www.vanstockum.nl/product/11422916/El-Mango.html,117
"Lamikara, O., S. Imam, and D. Ukuku. 2005. Produce Degradation Pathways and Prevention. CRC Press, Boca Raton, FL, 677 pp. ISBN-10:0-8493-1902-1",books,2006,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=11&surveynumber=277,118
"MARC, F. 2005. Nutrition for football. A practical guide to eating and drinking for health and performance. Based on an International Consensus Conference held at FIFA House in Zurich. September 2005.",books,2006,http://www.nutrinfo.com.mx/pagina/e-books/nutrition-football.pdf?PHPSESS=b38c02a9c646ab6ab82294cd83c94820,119
"Burg, S.B. 2004. Postharvest Physiology and Hypobaric Storage of Fresh. CABI Publishing, Wallingford, UK: 654pp. ISBN 0-85199-801-1",books,2006,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=4&surveynumber=277,120
"Camara-Hurtado et al. 2004. Frutas y verduras, fuentes de salud. Instituto de Salud Pública, Madrid.",books,2006,http://www.senba.es/recursos/pdf/frutas_y_verduras.pdf,121
"Kays, S.J. and R.E. Paull. 2004. Postharvest Biology. Exon Press, Athens, GA, 568 pp. ISBN: 1-888186-54-2",books,2006,http://ucce.ucdavis.edu/datastore/detailreport.cfm?usernumber=10&surveynumber=277,122
"WHO – FAO, 2004. Vitamin and mineral requirements in human nutrition. Second Edition.",books,2006,http://whqlibdoc.who.int/publications/2004/9241546123.pdf,123
"Arrizabalaga J.J., A. Calañas-Continente, J. Vidal, L. Masmiquel, M.J. Díaz-Fernández, P.P. García-Luna, S. Monereo, J. Moreiro, B. Moreno, W. Ricart, F. Cordido. 2003. Guía de práctica clínica para el manejo del sobrepeso y la obesidad en personas adultas. Sociedad Española de Endocrinología y Nutrición.",books,2006,http://www.mpg.es/archivos/media/guias/guia-clinica-obesidad.pdf,124
"Bourges, H., Bengoa J., O’Donnell A. 2003. Historias de la Nutrición en América Latina. Sociedad Latinoamericana de Nutrición.",books,2006,http://www.slan.org.mx/docs/HistNut_SLAN.pdf,125
"Chakraverty, A., A.S. Mujumdar, G.S.V. Raghavan, and H.S. Ramaswamy. 2003. Handbook of Postharvest Technology: Cereals, Fruits, Vegetables, Tea, and Spices. Marcel Dekker, Inc., NY; 884 pages; ISBN 0-8247-0514-9",books,2006,http://www.dekker.com/,126
"FAO. 2003. Food Composition Data: Production, Management and Use.",books,2006,http://www.fao.org/infoods/publications_en.stm#fcdpmu,127
Nutrition for athletes – winter sports. 2003. International Olympic Committee. A practical guide to eating for health and performance. Prepared by the Nutrition Working Group of the Medical Commission of the International Olympic Committee. Based on an International Consensus Conference held at the IOC in Lausanne in June 2003.,books,2006,http://www.nutrinfo.com.mx/pagina/e-books/nutrition-for-athletes.pdf?PHPSESS=b38c02a9c646ab6ab82294cd83c94820,128
"Anderson, H., J. Blundell and M Chiva. 2002. From genes to culture. Danone Institute.",books,2006,http://www.danoneinstitute.org/publications/book/food_selection_from_genes_to_culture.php,129
"Golob, P., G. Farrell, and J.E. Orchard (editors). 2002. Crop Post-harvest: Science and Technology. Volume 1. Principles and Practices. Blackwell Publishing and the Natural Resources Institute (NRI), University of Greenwich, UK; 554 pages; ISBN 0-632-05723-8",books,2006,http://www.blackwell-science.com/,130
"McGinnis, M., J. Appleton Gootman, V. I. Kraak (Editors). 2006. Food Marketing to Children and Youth: Threat or Opportunity?. Board on Children, Youth and Families – Food and Nutrition Board.",books,2006,http://www.nap.edu/openbook.php?isbn=0309097134,131
"Clinical Guidelines on the Identification, Evaluation, and Treatment of Overweight and Obesity in Adults. National Institutes of Health.",books,1999,http://www.nhlbi.nih.gov/guidelines/obesity/ob_home.htm,132
"FAO. 1997. Nutrition education for the public. Discussion papers of the FAO Expert Consultation (Rome, Italy 18-22 September 1995) – FAO Food and Nutrition Paper 62.",books,1999,http://www.fao.org/docrep/w3733e/w3733e00.htm,133
FAO/OMS. 1997. Grasas y Aceites en la Nutrición Humana. Consulta FAO/OMS de expertos.,books,1999,http://www.fao.org/docrep/V4700E/V4700E00.htm,134
"Latham, M. 1997. Human Nutrition in the Developing World. Organización de las Naciones Unidas para la Agricultura y la Alimentación.",books,1999,http://www.fao.org/docrep/w0073e/w0073e00.htm,135
WHO. 1997. ¿Qué es el Códex Alimentarius?. Organización Mundial de la Salud.,books,1999,http://www.fao.org/docrep/w9114s/w9114s00.htm,136
"FAO. 1994. Food, Nutrition and Agriculture – 12 – Food composition data.",books,1999,http://www.fao.org/docrep/V6000t/V6000t00.htm,137
"Yahia, E.M. and I. Higuera. (Eds). l992. Postharvest Physiology and Technology of Horticultural Crops (In Spanish). Limusa/Grupo Noriega Editores, México. 303p. ISBN 968-18-4147-6",books,1999,http://www.amazon.com/Fisiologia-Tecnologia-Postcosecha-Productos-Horticolas/dp/9681841476,138
"Alais, Charles. 1985. Ciencia de la leche: Principios de Técnica Lechera, 2ª Edición, Editorial Continenta.",books,1991,"http://books.google.com.mx/books?id=bW_ULacGBZMC&printsec=frontcover&dq=Ciencia+de+la+leche:+Principios+de+T%C3%A9cnica+Lechera#PPP1,M1",139
Solimano G. and Taylor L. 1980. Food price policies and nutrition in Latin America. The United Nations University. ISBN: 92-808-0128-7.,books,1991,http://www.unu.edu/unupress/unupbooks/80128e/80128E00.htm,140
"Stange, Claudia (Ed.).2016. Carotenoids in Nature: Biosynthesis, Regulation and Function. ISBN 978-3-319-39126-7",books,1979,https://www.springer.com/la/book/9783319391243,141
"Weintraub, P- G., P Jones (Editors) 2009. Phytoplasmas: Genomes, Plant Host and Vectors, CABI.",books,2010,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2173,142
"Ferry, N and A Gatehouse (Editors)2009. Enviromental Impact of geentically Modified Crops. CABI.",books,2010,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2087,143
Benjamin Caballero (Ed). 2009. Guide to Nutritional Supplements. ISBN: 978-0-12-375109-6.,books,2009,http://www.elsevierdirect.com/product.jsp?isbn=9780123751096,144
HNB Publishing,books,2009,http://www.hnbpub.com/,145
"Boisrobert Christine, Stjepanovic Aleksandra, Oh Sangsuk and Helieveld Huub, Ensuring Global Food Safety Exploring Global Harmonization. ISBN: 978-0-12-374845-4",books,2009,http://www.elsevierdirect.com/product.jsp?isbn=9780123748454,146
"Castellanos, Javier Z. 2009. Manual de producción de tomate en invernadero. Intagri",books,2009,http://www.intagri.com.mx/Manual_Tomate.html,147
"Castle, David and Nola Ries (Eds). 2009. Nutrition and Genomics. Elsevier. 328 pages, ISBN: 978-0-12-746275-2.",books,2009,http://mail.elsevier-alerts.com/go.asp?/bESJ001/mUBF2Z8/qUKX2Z8/u2APG6/xFMO2Z8%22,148
"Da-Wen Sun. 2009. Infrared Spectroscopy for Food Quality Analysis and Control. Elsevier. 448 Pages, ISBN: 978-0-12-374136-3.",books,2009,http://mail.elsevier-alerts.com/go.asp?/bESJ001/mUBF2Z8/q3TOKZ8/u2APG6/xFMO2Z8,149
"D P Khasa, Universite Laval, Canada; Y Piche, Universite Laval, Canada; A P Coughlin, Quebec Project Manager for Bird Studies, Canada. Advances in Mycorrhizal Science and Technology. October 2009 / Hardback / 208 Pages /ISBN: 9781845935863",books,2009,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2154,150
"Forestry and Climate Change. Edited by P H Freer-Smith, Forest Research, UK; M S J Broadmeadow, Forest Research, UK; J M Lynch, Forest Research, UK. October 2009 / Paperback / 272 Pages / ISBN: 9781845935962",books,2009,http://www.cabi.org/cabipages/bk_bookdisplay.asp?pid=2051,151
"J. Bórgi, Freelance journalist, Switzerland. Insect Resistant Maize. October 2009 / Hardback / 304 Pages /ISBN: 9781845935696",books,2009,http://www.cabi.org/cabipages/bk_BookDisplay.asp?PID=2175,152
